city,state,lat,lon
Ewa Beach,HI,21.3156,-158.0072
Kapolei,HI,21.3350,-158.0581
Kihei,HI,20.7644,-156.4450
Lahaina,HI,20.8783,-156.6825
Lihue,HI,21.9811,-159.3711
Kapaa,HI,22.0881,-159.3189
Boise,ID,43.6150,-116.2023
Meridian,ID,43.6121,-116.3915
Nampa,ID,43.5407,-116.5635
Idaho Falls,ID,43.4917,-112.0339
Pocatello,ID,42.8713,-112.4455
Caldwell,ID,43.6629,-116.6874
Coeur d'Alene,ID,47.6777,-116.7805
Twin Falls,ID,42.5558,-114.4701
Lewiston,ID,46.4165,-117.0177
Moscow,ID,46.7324,-117.0002
Rexburg,ID,43.8260,-111.7894
Eagle,ID,43.6955,-116.3529
Sandpoint,ID,48.2766,-116.5533
Sun Valley,ID,43.6971,-114.3514
Springfield,IL,39.7817,-89.6501
Chicago,IL,41.8781,-87.6298
Aurora,IL,41.7606,-88.3201
Rockford,IL,42.2711,-89.0940
Joliet,IL,41.5250,-88.0817
Naperville,IL,41.7508,-88.1535
Peoria,IL,40.6936,-89.5890
Elgin,IL,42.0354,-88.2826
Champaign,IL,40.1164,-88.2434
Bloomington,IL,40.4842,-88.9937
Decatur,IL,39.8403,-88.9548
Evanston,IL,42.0451,-87.6877
Waukegan,IL,42.3636,-87.8448
Carbondale,IL,37.7273,-89.2168
Galesburg,IL,40.9478,-90.3712
Quincy,IL,39.9356,-91.4099
Indianapolis,IN,39.7684,-86.1581
Fort Wayne,IN,41.0793,-85.1394
Evansville,IN,37.9716,-87.5711
South Bend,IN,41.6764,-86.2520
Carmel,IN,39.9784,-86.1180
Fishers,IN,39.9568,-86.0132
Bloomington,IN,39.1653,-86.5264
Hammond,IN,41.5834,-87.5001
Lafayette,IN,40.4167,-86.8753
Muncie,IN,40.1934,-85.3864
Terre Haute,IN,39.4667,-87.4139
Kokomo,IN,40.4864,-86.1336
Anderson,IN,40.1053,-85.6803
Columbus,IN,39.2014,-85.9214
Des Moines,IA,41.5868,-93.6250
Cedar Rapids,IA,41.9779,-91.6656
Davenport,IA,41.5236,-90.5776
Sioux City,IA,42.4963,-96.4049
Iowa City,IA,41.6611,-91.5302
Waterloo,IA,42.4928,-92.3426
Council Bluffs,IA,41.2619,-95.8608
Ames,IA,42.0347,-93.6200
Dubuque,IA,42.5006,-90.6648
Ankeny,IA,41.7296,-93.6053
West Des Moines,IA,41.5772,-93.7113
Mason City,IA,43.1536,-93.2010
Burlington,IA,40.8075,-91.1129
Fort Dodge,IA,42.4975,-94.1680
Topeka,KS,39.0473,-95.6752
Wichita,KS,37.6872,-97.3301
Overland Park,KS,38.9822,-94.6708
Kansas City,KS,39.1141,-94.6275
Olathe,KS,38.8814,-94.8191
Lawrence,KS,38.9717,-95.2353
Shawnee,KS,39.0417,-94.7202
Manhattan,KS,39.1836,-96.5717
Lenexa,KS,38.9536,-94.7337
Salina,KS,38.8403,-97.6114
Hutchinson,KS,38.0608,-97.9298
Garden City,KS,37.9717,-100.8727
Dodge City,KS,37.7528,-100.0171
Liberal,KS,37.0431,-100.9209
Frankfort,KY,38.2009,-84.8733
Louisville,KY,38.2527,-85.7585
Lexington,KY,38.0406,-84.5037
Bowling Green,KY,36.9685,-86.4808
Owensboro,KY,37.7719,-87.1112
Covington,KY,39.0837,-84.5086
Richmond,KY,37.7479,-84.2947
Georgetown,KY,38.2098,-84.5588
Elizabethtown,KY,37.6940,-85.8591
Hopkinsville,KY,36.8656,-87.4886
Paducah,KY,37.0834,-88.6001
Ashland,KY,38.4784,-82.6380
Florence,KY,38.9990,-84.6266
Radcliff,KY,37.8404,-85.9491
Baton Rouge,LA,30.4515,-91.1871
New Orleans,LA,29.9511,-90.0715
Shreveport,LA,32.5252,-93.7502
Lafayette,LA,30.2241,-92.0198
Lake Charles,LA,30.2266,-93.2174
Kenner,LA,29.9941,-90.2417
Bossier City,LA,32.5160,-93.7321
Monroe,LA,32.5093,-92.1193
Alexandria,LA,31.3113,-92.4451
Houma,LA,29.5958,-90.7195
New Iberia,LA,30.0035,-91.8188
Slidell,LA,30.2752,-89.7812
Natchitoches,LA,31.7607,-93.0863
Ruston,LA,32.5232,-92.6379
Augusta,ME,44.3106,-69.7795
Portland,ME,43.6591,-70.2568
Lewiston,ME,44.1004,-70.2148
Bangor,ME,44.8016,-68.7712
South Portland,ME,43.6415,-70.2409
Auburn,ME,44.0979,-70.2312
Biddeford,ME,43.4926,-70.4533
Sanford,ME,43.4393,-70.7742
Brunswick,ME,43.9145,-69.9653
Saco,ME,43.5009,-70.4428
Scarborough,ME,43.5781,-70.3217
Westbrook,ME,43.6770,-70.3712
Bar Harbor,ME,44.3876,-68.2039
Presque Isle,ME,46.6812,-68.0159
Annapolis,MD,38.9784,-76.4922
Baltimore,MD,39.2904,-76.6122
Frederick,MD,39.4143,-77.4105
Rockville,MD,39.0840,-77.1528
Gaithersburg,MD,39.1434,-77.2014
Bowie,MD,39.0068,-76.7791
Hagerstown,MD,39.6418,-77.7200
College Park,MD,38.9807,-76.9370
Salisbury,MD,38.3607,-75.5994
Cumberland,MD,39.6528,-78.7625
Laurel,MD,39.0993,-76.8483
Easton,MD,38.7743,-76.0763
Ocean City,MD,38.3365,-75.0849
Cambridge,MD,38.5632,-76.0788
Boston,MA,42.3601,-71.0589
Worcester,MA,42.2626,-71.8023
Springfield,MA,42.1015,-72.5898
Cambridge,MA,42.3736,-71.1097
Lowell,MA,42.6334,-71.3162
Brockton,MA,42.0834,-71.0184
New Bedford,MA,41.6362,-70.9342
Quincy,MA,42.2529,-71.0023
Lynn,MA,42.4668,-70.9495
Fall River,MA,41.7015,-71.1550
Somerville,MA,42.3876,-71.0995
Newton,MA,42.3370,-71.2092
Pittsfield,MA,42.4501,-73.2454
Plymouth,MA,41.9584,-70.6673
Barnstable,MA,41.7003,-70.3002
Provincetown,MA,42.0584,-70.1836
Lansing,MI,42.7325,-84.5555
Detroit,MI,42.3314,-83.0458
Grand Rapids,MI,42.9634,-85.6681
Warren,MI,42.5145,-83.0147
Sterling Heights,MI,42.5803,-83.0302
Ann Arbor,MI,42.2808,-83.7430
Dearborn,MI,42.3223,-83.1763
Flint,MI,43.0125,-83.6875
Kalamazoo,MI,42.2917,-85.5872
Saginaw,MI,43.4195,-83.9508
Traverse City,MI,44.7631,-85.6206
Muskegon,MI,43.2342,-86.2484
Marquette,MI,46.5436,-87.3954
Midland,MI,43.6156,-84.2472
Holland,MI,42.7876,-86.1089
Petoskey,MI,45.3753,-84.9553
Saint Paul,MN,44.9537,-93.0900
Minneapolis,MN,44.9778,-93.2650
Rochester,MN,44.0121,-92.4802
Duluth,MN,46.7867,-92.1005
Bloomington,MN,44.8408,-93.2983
Brooklyn Park,MN,45.0941,-93.3563
Plymouth,MN,45.0105,-93.4555
Maple Grove,MN,45.0724,-93.4558
Woodbury,MN,44.9239,-92.9594
St. Cloud,MN,45.5579,-94.1632
Mankato,MN,44.1636,-93.9994
Moorhead,MN,46.8739,-96.7678
Red Wing,MN,44.5624,-92.5338
Bemidji,MN,47.4736,-94.8803
Brainerd,MN,46.3580,-94.2008
Winona,MN,44.0500,-91.6393
Albert Lea,MN,43.6480,-93.3683
International Falls,MN,48.6011,-93.4108
Jackson,MS,32.2988,-90.1848
Gulfport,MS,30.3674,-89.0928
Southaven,MS,34.9890,-90.0126
Hattiesburg,MS,31.3271,-89.2903
Biloxi,MS,30.3960,-88.8853
Olive Branch,MS,34.9618,-89.8295
Tupelo,MS,34.2576,-88.7034
Meridian,MS,32.3643,-88.7037
Greenville,MS,33.4101,-91.0618
Oxford,MS,34.3665,-89.5192
Starkville,MS,33.4504,-88.8184
Columbus,MS,33.4957,-88.4273
Vicksburg,MS,32.3526,-90.8779
Natchez,MS,31.5604,-91.4032
Jefferson City,MO,38.5767,-92.1735
Kansas City,MO,39.0997,-94.5786
St. Louis,MO,38.6270,-90.1994
Springfield,MO,37.2090,-93.2923
Columbia,MO,38.9517,-92.3341
Independence,MO,39.0911,-94.4155
Lee's Summit,MO,38.9108,-94.3822
O'Fallon,MO,38.8106,-90.6998
St. Joseph,MO,39.7687,-94.8468
St. Charles,MO,38.7881,-90.4974
Joplin,MO,37.0842,-94.5133
Branson,MO,36.6437,-93.2185
Cape Girardeau,MO,37.3059,-89.5181
Hannibal,MO,39.7084,-91.3585
Helena,MT,46.5884,-112.0245
Billings,MT,45.7833,-108.5007
Missoula,MT,46.8721,-113.9940
Great Falls,MT,47.5002,-111.3008
Bozeman,MT,45.6770,-111.0429
Butte,MT,46.0038,-112.5348
Kalispell,MT,48.1920,-114.3168
Havre,MT,48.5530,-109.6841
Miles City,MT,46.4083,-105.8406
Livingston,MT,45.6627,-110.5601
Sidney,MT,47.7167,-104.1563
Whitefish,MT,48.4106,-114.3528
Glasgow,MT,48.1970,-106.6361
Glendive,MT,47.1053,-104.7127
Lincoln,NE,40.8258,-96.6852
Omaha,NE,41.2565,-95.9345
Bellevue,NE,41.1544,-95.8908
Grand Island,NE,40.9264,-98.3420
Kearney,NE,40.6993,-99.0832
Fremont,NE,41.4333,-96.4981
Hastings,NE,40.5862,-98.3923
North Platte,NE,41.1239,-100.7654
Norfolk,NE,42.0286,-97.4170
Columbus,NE,41.4298,-97.3684
Scottsbluff,NE,41.8666,-103.6672
Papillion,NE,41.1544,-96.0422
Alliance,NE,42.1014,-102.8718
McCook,NE,40.2014,-100.6254
Carson City,NV,39.1638,-119.7674
Las Vegas,NV,36.1699,-115.1398
Henderson,NV,36.0395,-114.9817
Reno,NV,39.5296,-119.8138
North Las Vegas,NV,36.1989,-115.1175
Sparks,NV,39.5349,-119.7527
Enterprise,NV,36.0267,-115.2400
Elko,NV,40.8324,-115.7631
Mesquite,NV,36.8053,-114.0672
Fernley,NV,39.6080,-119.2518
Fallon,NV,39.4735,-118.7776
Winnemucca,NV,40.9730,-117.7357
Ely,NV,39.2474,-114.8886
Boulder City,NV,35.9728,-114.8325
Concord,NH,43.2081,-71.5376
Manchester,NH,42.9956,-71.4548
Nashua,NH,42.7654,-71.4676
Dover,NH,43.1979,-70.8737
Rochester,NH,43.3045,-70.9757
Keene,NH,42.9337,-72.2779
Portsmouth,NH,43.0718,-70.7626
Laconia,NH,43.5279,-71.4704
Lebanon,NH,43.6423,-72.2517
Claremont,NH,43.3770,-72.3468
Berlin,NH,44.4687,-71.1851
Plymouth,NH,43.7570,-71.6881
Hanover,NH,43.7022,-72.2896
North Conway,NH,44.0537,-71.1284
Trenton,NJ,40.2171,-74.7429
Newark,NJ,40.7357,-74.1724
Jersey City,NJ,40.7178,-74.0431
Paterson,NJ,40.9168,-74.1718
Elizabeth,NJ,40.6639,-74.2107
Edison,NJ,40.5187,-74.4121
Woodbridge,NJ,40.5576,-74.2846
Toms River,NJ,39.9537,-74.1979
Camden,NJ,39.9259,-75.1196
Atlantic City,NJ,39.3643,-74.4229
New Brunswick,NJ,40.4862,-74.4518
Princeton,NJ,40.3573,-74.6672
Cape May,NJ,38.9351,-74.9060
Hoboken,NJ,40.7440,-74.0324
Morristown,NJ,40.7968,-74.4815
Hackensack,NJ,40.8859,-74.0435
Santa Fe,NM,35.6870,-105.9378
Albuquerque,NM,35.0844,-106.6504
Las Cruces,NM,32.3199,-106.7637
Rio Rancho,NM,35.2328,-106.6630
Roswell,NM,33.3943,-104.5230
Farmington,NM,36.7281,-108.2187
Clovis,NM,34.4048,-103.2052
Hobbs,NM,32.7126,-103.1361
Carlsbad,NM,32.4207,-104.2288
Alamogordo,NM,32.8995,-105.9603
Gallup,NM,35.5281,-108.7426
Las Vegas,NM,35.5942,-105.2239
Silver City,NM,32.7701,-108.2803
Taos,NM,36.4072,-105.5731
Albany,NY,42.6526,-73.7562
New York City,NY,40.7128,-74.0060
Buffalo,NY,42.8864,-78.8784
Rochester,NY,43.1566,-77.6088
Syracuse,NY,43.0481,-76.1474
Yonkers,NY,40.9312,-73.8987
Utica,NY,43.1009,-75.2327
White Plains,NY,41.0340,-73.7629
Ithaca,NY,42.4440,-76.5019
Binghamton,NY,42.0987,-75.9180
Schenectady,NY,42.8142,-73.9396
Kingston,NY,41.9268,-73.9974
Poughkeepsie,NY,41.7004,-73.9210
Plattsburgh,NY,44.6995,-73.4529
Saratoga Springs,NY,43.0831,-73.7846
Watertown,NY,43.9748,-75.9107
Raleigh,NC,35.7796,-78.6382
Charlotte,NC,35.2271,-80.8431
Greensboro,NC,36.0726,-79.7920
Durham,NC,35.9940,-78.8986
Winston-Salem,NC,36.0999,-80.2442
Fayetteville,NC,35.0527,-78.8784
Cary,NC,35.7915,-78.7811
Wilmington,NC,34.2257,-77.9447
High Point,NC,35.9557,-80.0053
Asheville,NC,35.5951,-82.5515
Greenville,NC,35.6127,-77.3664
Jacksonville,NC,34.7541,-77.4303
Concord,NC,35.4088,-80.5795
Gastonia,NC,35.2621,-81.1873
Hickory,NC,35.7331,-81.3412
Outer Banks,NC,35.9582,-75.6249
Bismarck,ND,46.8083,-100.7837
Fargo,ND,46.8772,-96.7898
Grand Forks,ND,47.9253,-97.0329
Minot,ND,48.2330,-101.2923
West Fargo,ND,46.8769,-96.9003
Williston,ND,48.1470,-103.6180
Dickinson,ND,46.8792,-102.7896
Mandan,ND,46.8268,-100.8897
Jamestown,ND,46.9106,-98.7084
Wahpeton,ND,46.2652,-96.6059
Devils Lake,ND,48.1128,-98.8651
Valley City,ND,46.9233,-98.0031
Columbus,OH,39.9612,-82.9988
Cleveland,OH,41.4993,-81.6944
Cincinnati,OH,39.1031,-84.5120
Toledo,OH,41.6528,-83.5379
Akron,OH,41.0814,-81.5190
Dayton,OH,39.7589,-84.1916
Canton,OH,40.7989,-81.3784
Youngstown,OH,41.0998,-80.6495
Lorain,OH,41.4528,-82.1824
Springfield,OH,39.9242,-83.8088
Mansfield,OH,40.7589,-82.5145
Newark,OH,40.0581,-82.4013
Lima,OH,40.7428,-84.1052
Zanesville,OH,39.9403,-82.0132
Sandusky,OH,41.4489,-82.7080
Marietta,OH,39.4154,-81.4549
Oklahoma City,OK,35.4676,-97.5164
Tulsa,OK,36.1540,-95.9928
Norman,OK,35.2226,-97.4395
Broken Arrow,OK,36.0526,-95.7908
Lawton,OK,34.6036,-98.3959
Edmond,OK,35.6528,-97.4781
Moore,OK,35.3395,-97.4867
Midwest City,OK,35.4495,-97.3967
Enid,OK,36.3955,-97.8784
Stillwater,OK,36.1156,-97.0584
Muskogee,OK,35.7479,-95.3697
Bartlesville,OK,36.7472,-95.9808
Ponca City,OK,36.7070,-97.0856
Ardmore,OK,34.1743,-97.1286
Salem,OR,44.9429,-123.0351
Portland,OR,45.5152,-122.6784
Eugene,OR,44.0521,-123.0868
Gresham,OR,45.5001,-122.4302
Hillsboro,OR,45.5229,-122.9898
Beaverton,OR,45.4871,-122.8038
Bend,OR,44.0582,-121.3153
Medford,OR,42.3265,-122.8756
Springfield,OR,44.0462,-123.0220
Corvallis,OR,44.5646,-123.2620
Albany,OR,44.6365,-123.1059
Grants Pass,OR,42.4390,-123.3284
Klamath Falls,OR,42.2249,-121.7817
Pendleton,OR,45.6722,-118.7886
Astoria,OR,46.1879,-123.8313
The Dalles,OR,45.5946,-121.1787
Harrisburg,PA,40.2732,-76.8867
Philadelphia,PA,39.9526,-75.1652
Pittsburgh,PA,40.4406,-79.9959
Allentown,PA,40.6084,-75.4902
Erie,PA,42.1292,-80.0851
Reading,PA,40.3357,-75.9269
Scranton,PA,41.4090,-75.6624
Bethlehem,PA,40.6259,-75.3705
Lancaster,PA,40.0379,-76.3055
Wilkes-Barre,PA,41.2459,-75.8813
York,PA,39.9626,-76.7277
State College,PA,40.7934,-77.8600
Gettysburg,PA,39.8309,-77.2311
Williamsport,PA,41.2412,-77.0011
Johnstown,PA,40.3267,-78.9220
Meadville,PA,41.6414,-80.1514
Providence,RI,41.8240,-71.4128
Warwick,RI,41.7001,-71.4162
Cranston,RI,41.7798,-71.4373
Pawtucket,RI,41.8787,-71.3826
East Providence,RI,41.8137,-71.3701
Woonsocket,RI,42.0029,-71.5145
Newport,RI,41.4901,-71.3128
Cumberland,RI,41.9676,-71.4328
Central Falls,RI,41.8907,-71.3926
Westerly,RI,41.3776,-71.8273
Bristol,RI,41.6771,-71.2662
Narragansett,RI,41.4501,-71.4495
Columbia,SC,34.0007,-81.0348
Charleston,SC,32.7765,-79.9311
North Charleston,SC,32.8546,-79.9748
Mount Pleasant,SC,32.7941,-79.8626
Rock Hill,SC,34.9249,-81.0251
Greenville,SC,34.8526,-82.3940
Summerville,SC,33.0185,-80.1756
Spartanburg,SC,34.9496,-81.9320
Hilton Head Island,SC,32.2163,-80.7526
Florence,SC,34.1954,-79.7626
Myrtle Beach,SC,33.6891,-78.8867
Anderson,SC,34.5034,-82.6501
Aiken,SC,33.5604,-81.7196
Beaufort,SC,32.4316,-80.6698
Pierre,SD,44.3683,-100.3510
Sioux Falls,SD,43.5460,-96.7313
Rapid City,SD,44.0805,-103.2310
Aberdeen,SD,45.4647,-98.4865
Brookings,SD,44.3114,-96.7984
Watertown,SD,44.8994,-97.1150
Mitchell,SD,43.7094,-98.0298
Yankton,SD,42.8711,-97.3973
Huron,SD,44.3633,-98.2148
Vermillion,SD,42.7794,-96.9292
Spearfish,SD,44.4908,-103.8593
Sturgis,SD,44.4094,-103.5091
Hot Springs,SD,43.4316,-103.4744
Deadwood,SD,44.3767,-103.7296
Nashville,TN,36.1627,-86.7816
Memphis,TN,35.1495,-90.0490
Knoxville,TN,35.9606,-83.9207
Chattanooga,TN,35.0456,-85.3097
Clarksville,TN,36.5298,-87.3595
Murfreesboro,TN,35.8456,-86.3903
Franklin,TN,35.9251,-86.8689
Jackson,TN,35.6145,-88.8139
Johnson City,TN,36.3134,-82.3535
Kingsport,TN,36.5484,-82.5618
Cookeville,TN,36.1628,-85.5016
Gatlinburg,TN,35.7143,-83.5102
Pigeon Forge,TN,35.7884,-83.5543
Columbia,TN,35.6151,-87.0353
Austin,TX,30.2672,-97.7431
Houston,TX,29.7604,-95.3698
San Antonio,TX,29.4241,-98.4936
Dallas,TX,32.7767,-96.7970
Fort Worth,TX,32.7555,-97.3308
El Paso,TX,31.7619,-106.4850
Arlington,TX,32.7357,-97.1081
Corpus Christi,TX,27.8006,-97.3964
Plano,TX,33.0198,-96.6989
Laredo,TX,27.5036,-99.5076
Lubbock,TX,33.5779,-101.8552
Garland,TX,32.9126,-96.6389
Irving,TX,32.8140,-96.9489
Amarillo,TX,35.2220,-101.8313
Grand Prairie,TX,32.7460,-96.9978
McKinney,TX,33.1972,-96.6397
Frisco,TX,33.1507,-96.8236
Brownsville,TX,25.9017,-97.4975
McAllen,TX,26.2034,-98.2300
Midland,TX,31.9973,-102.0779
Odessa,TX,31.8457,-102.3676
Waco,TX,31.5493,-97.1467
Tyler,TX,32.3513,-95.3011
Abilene,TX,32.4487,-99.7331
Beaumont,TX,30.0802,-94.1266
Wichita Falls,TX,33.9137,-98.4934
Salt Lake City,UT,40.7608,-111.8910
West Valley City,UT,40.6916,-112.0011
Provo,UT,40.2338,-111.6585
West Jordan,UT,40.6097,-111.9391
Orem,UT,40.2969,-111.6946
Sandy,UT,40.5649,-111.8590
Ogden,UT,41.2230,-111.9738
St. George,UT,37.0965,-113.5684
Layton,UT,41.0602,-111.9711
Logan,UT,41.7370,-111.8338
Park City,UT,40.6461,-111.4980
Cedar City,UT,37.6775,-113.0619
Moab,UT,38.5733,-109.5498
Vernal,UT,40.4555,-109.5287
Montpelier,VT,44.2601,-72.5754
Burlington,VT,44.4759,-73.2121
South Burlington,VT,44.4669,-73.1710
Rutland,VT,43.6106,-72.9726
Barre,VT,44.1970,-72.5020
Bennington,VT,42.8782,-73.1968
Brattleboro,VT,42.8509,-72.5579
St. Albans,VT,44.8110,-73.0831
Newport,VT,44.9364,-72.2051
Middlebury,VT,44.0153,-73.1673
St. Johnsbury,VT,44.4192,-72.0151
Stowe,VT,44.4654,-72.6874
Manchester,VT,43.1637,-73.0724
Woodstock,VT,43.6243,-72.5187
Richmond,VA,37.5407,-77.4360
Virginia Beach,VA,36.8529,-75.9780
Norfolk,VA,36.8508,-76.2859
Chesapeake,VA,36.7682,-76.2875
Arlington,VA,38.8816,-77.0910
Newport News,VA,37.0871,-76.4730
Alexandria,VA,38.8048,-77.0469
Hampton,VA,37.0299,-76.3452
Roanoke,VA,37.2710,-79.9414
Lynchburg,VA,37.4138,-79.1422
Charlottesville,VA,38.0293,-78.4767
Fredericksburg,VA,38.3032,-77.4605
Harrisonburg,VA,38.4496,-78.8689
Winchester,VA,39.1857,-78.1633
Danville,VA,36.5860,-79.3950
Blacksburg,VA,37.2296,-80.4139
Olympia,WA,47.0379,-122.9007
